filename,match_type,match_type_number,,cricinfo_matches,
,,,,4026,
,,,,4028,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1154649.json,ODI,4034,,4034,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1170454.json,ODI,4083,,4083,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1170455.json,ODI,4086,,4086,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1170456.json,ODI,4089,,4089,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1215122.json,ODI,4236,,4236,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1215124.json,ODI,4240,,4240,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1215125.json,ODI,4241,,4241,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1215127.json,ODI,4245,,4245,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1276295.json,ODI,4317,,4317,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1276296.json,ODI,4322,,4322,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1275249.json,ODI,4324,,4324,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1275250.json,ODI,4325,,4325,TRUE
,,,,4327,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1275253.json,ODI,4328,,4328,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1302624.json,ODI,4368,,4368,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1302625.json,ODI,4369,,4369,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1302627.json,ODI,4373,,4373,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1302628.json,ODI,4374,,4374,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1305496.json,ODI,4376,,4376,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1305497.json,ODI,4377,,4377,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1312805.json,ODI,4404,,4404,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1312806.json,ODI,4406,,4406,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1312808.json,ODI,4410,,4410,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1312809.json,ODI,4411,,4411,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1322031.json,ODI,4422,,4422,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1322032.json,ODI,4425,,4425,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1322034.json,ODI,4430,,4430,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1322035.json,ODI,4432,,4432,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1343683.json,ODI,4473,,4473,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1343684.json,ODI,4474,,4474,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1343685.json,ODI,4476,,4476,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1341976.json,ODI,4492,,4492,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1341977.json,ODI,4494,,4494,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1341979.json,ODI,4497,,4497,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1341980.json,ODI,4498,,4498,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358073.json,ODI,4515,,4515,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358075.json,ODI,4517,,4517,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358076.json,ODI,4518,,4518,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358078.json,ODI,4520,,4520,TRUE
,,,,4523,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358083.json,ODI,4526,,4526,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358084.json,ODI,4527,,4527,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358086.json,ODI,4530,,4530,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358087.json,ODI,4532,,4532,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358089.json,ODI,4534,,4534,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358090.json,ODI,4535,,4535,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1358092.json,ODI,4537,,4537,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1367985.json,ODI,4568,,4568,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1368002.json,ODI,4572,,4572,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1377746.json,ODI,4585,,4585,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1377751.json,ODI,4590,,4590,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1377754.json,ODI,4593,,4593,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1377759.json,ODI,4598,,4598,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1377771.json,ODI,4610,,4610,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1377774.json,ODI,4613,,4613,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1388392.json,ODI,4628,,4628,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1388398.json,ODI,4632,,4632,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1420220.json,ODI,4724,,4724,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1420221.json,ODI,4726,,4726,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1420222.json,ODI,4728,,4728,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1420529.json,ODI,4730,,4730,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1420530.json,ODI,4731,,4731,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1420532.json,ODI,4733,,4733,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1420534.json,ODI,4735,,4735,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1450696.json,ODI,4762,,4762,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1450697.json,ODI,4765,,4765,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1450699.json,ODI,4773,,4773,TRUE
,,,,4787,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1450704.json,ODI,4788,,4788,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1450706.json,ODI,4793,,4793,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1450707.json,ODI,4796,,4796,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1486772.json,ODI,4882,,4882,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1486773.json,ODI,4884,,4884,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1486775.json,ODI,4886,,4886,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1486776.json,ODI,4887,,4887,TRUE
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133938.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1124087.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/812803.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/785959.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/736505.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/576407.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/467089.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/628086.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133020.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/576411.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133000.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133016.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/473029.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/628081.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/911055.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/785969.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/812805.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/952197.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/812795.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/930569.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/812783.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/785987.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1004261.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133933.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/628096.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/911057.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/576414.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/812779.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1105009.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/785993.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/467078.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133946.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1068733.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133024.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/576403.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/736501.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/952199.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/736517.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133008.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1068734.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133941.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1450703.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/785977.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/628092.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1124088.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/1133937.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/467091.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/576409.json,ODM,,,,
/Users/saral/Documents/cricket/cricsheet/all_json/nepal/812787.json,ODM,,,,